transaction_id,customer_id,merchant_id,amount,timestamp,status,payment_method,bank,device_type,failure_code,failure_reason
TXN500_0000,CUST_32,MERCH_4,45547.66,2026-08-22T14:45:54.605201Z,FAILED,NETBANKING,AXIS,MOBILE,TIMEOUT,Timeout
TXN500_0001,CUST_38,MERCH_10,45300.53,2026-08-22T15:00:54.605201Z,SUCCESS,UPI,AXIS,DESKTOP,,
TXN500_0002,CUST_1,MERCH_7,42074.97,2026-08-22T15:15:54.605201Z,SUCCESS,WALLET,AXIS,MOBILE,,
TXN500_0003,CUST_44,MERCH_8,25200.46,2026-08-22T15:30:54.605201Z,FAILED,NETBANKING,AXIS,DESKTOP,TIMEOUT,Timeout
TXN500_0004,CUST_2,MERCH_6,27555.38,2026-08-22T15:45:54.605201Z,FAILED,CARD,HDFC,DESKTOP,TIMEOUT,Timeout
TXN500_0005,CUST_33,MERCH_2,44216.92,2026-08-22T16:00:54.605201Z,SUCCESS,UPI,HDFC,DESKTOP,,
TXN500_0006,CUST_29,MERCH_10,2520.37,2026-08-22T16:15:54.605201Z,SUCCESS,UPI,HDFC,MOBILE,,
TXN500_0007,CUST_4,MERCH_9,39028.97,2026-08-22T16:30:54.605201Z,SUCCESS,NETBANKING,SBI,DESKTOP,,
TXN500_0008,CUST_34,MERCH_6,34962.46,2026-08-22T16:45:54.605201Z,SUCCESS,NETBANKING,ICICI,MOBILE,,
TXN500_0009,CUST_17,MERCH_9,29987.92,2026-08-22T17:00:54.605201Z,FAILED,NETBANKING,ICICI,MOBILE,TIMEOUT,Timeout
TXN500_0010,CUST_20,MERCH_9,26942.69,2026-08-22T17:15:54.605201Z,SUCCESS,CARD,ICICI,MOBILE,,
TXN500_0011,CUST_4,MERCH_1,20393.36,2026-08-22T17:30:54.605201Z,SUCCESS,NETBANKING,SBI,DESKTOP,,
TXN500_0012,CUST_38,MERCH_6,47875.39,2026-08-22T17:45:54.605201Z,SUCCESS,UPI,AXIS,MOBILE,,
TXN500_0013,CUST_10,MERCH_6,30234.32,2026-08-22T18:00:54.605201Z,SUCCESS,NETBANKING,SBI,DESKTOP,,
TXN500_0014,CUST_33,MERCH_8,47846.11,2026-08-22T18:15:54.605201Z,SUCCESS,NETBANKING,SBI,MOBILE,,
TXN500_0015,CUST_15,MERCH_5,21247.86,2026-08-22T18:30:54.605201Z,FAILED,NETBANKING,SBI,MOBILE,TIMEOUT,Timeout
TXN500_0016,CUST_36,MERCH_7,38512.34,2026-08-22T18:45:54.605201Z,SUCCESS,CARD,ICICI,MOBILE,,
TXN500_0017,CUST_48,MERCH_9,1944.62,2026-08-22T19:00:54.605201Z,SUCCESS,NETBANKING,SBI,DESKTOP,,
TXN500_0018,CUST_2,MERCH_10,3231.8,2026-08-22T19:15:54.605201Z,SUCCESS,UPI,ICICI,MOBILE,,
TXN500_0019,CUST_2,MERCH_5,30467.98,2026-08-22T19:30:54.605201Z,SUCCESS,NETBANKING,AXIS,DESKTOP,,
TXN500_0020,CUST_30,MERCH_3,48335.4,2026-08-22T19:45:54.605201Z,SUCCESS,CARD,ICICI,DESKTOP,,
TXN500_0021,CUST_32,MERCH_10,25269.95,2026-08-22T20:00:54.605201Z,SUCCESS,NETBANKING,AXIS,DESKTOP,,
TXN500_0022,CUST_42,MERCH_6,35285.69,2026-08-22T20:15:54.605201Z,SUCCESS,CARD,SBI,MOBILE,,
TXN500_0023,CUST_36,MERCH_4,27733.06,2026-08-22T20:30:54.605201Z,FAILED,CARD,ICICI,MOBILE,TIMEOUT,Timeout
TXN500_0024,CUST_46,MERCH_1,25412.19,2026-08-22T20:45:54.605201Z,FAILED,CARD,ICICI,MOBILE,TIMEOUT,Timeout
TXN500_0025,CUST_35,MERCH_9,7687.65,2026-08-22T21:00:54.605201Z,FAILED,UPI,ICICI,MOBILE,TIMEOUT,Timeout
TXN500_0026,CUST_36,MERCH_3,44680.09,2026-08-22T21:15:54.605201Z,SUCCESS,UPI,SBI,DESKTOP,,
TXN500_0027,CUST_26,MERCH_9,41062.97,2026-08-22T21:30:54.605201Z,FAILED,WALLET,ICICI,MOBILE,TIMEOUT,Timeout
TXN500_0028,CUST_41,MERCH_10,5891.61,2026-08-22T21:45:54.605201Z,SUCCESS,NETBANKING,HDFC,MOBILE,,
TXN500_0029,CUST_21,MERCH_5,17561.58,2026-08-22T22:00:54.605201Z,SUCCESS,WALLET,ICICI,MOBILE,,
TXN500_0030,CUST_45,MERCH_2,29595.9,2026-08-22T22:15:54.605201Z,SUCCESS,CARD,SBI,DESKTOP,,
TXN500_0031,CUST_3,MERCH_5,24558.15,2026-08-22T22:30:54.605201Z,SUCCESS,UPI,SBI,DESKTOP,,
TXN500_0032,CUST_22,MERCH_3,16915.05,2026-08-22T22:45:54.605201Z,SUCCESS,WALLET,ICICI,DESKTOP,,
TXN500_0033,CUST_6,MERCH_7,8502.71,2026-08-22T23:00:54.605201Z,SUCCESS,CARD,HDFC,MOBILE,,
TXN500_0034,CUST_28,MERCH_9,28399.48,2026-08-22T23:15:54.605201Z,SUCCESS,NETBANKING,SBI,MOBILE,,
TXN500_0035,CUST_9,MERCH_7,29732.37,2026-08-22T23:30:54.605201Z,SUCCESS,CARD,AXIS,MOBILE,,
TXN500_0036,CUST_41,MERCH_10,24291.27,2026-08-22T23:45:54.605201Z,SUCCESS,CARD,AXIS,MOBILE,,
TXN500_0037,CUST_25,MERCH_1,23211.26,2026-08-23T00:00:54.605201Z,SUCCESS,CARD,SBI,DESKTOP,,
TXN500_0038,CUST_39,MERCH_8,27307.41,2026-08-23T00:15:54.605201Z,SUCCESS,WALLET,ICICI,DESKTOP,,
TXN500_0039,CUST_16,MERCH_8,40852.13,2026-08-23T00:30:54.605201Z,SUCCESS,CARD,ICICI,MOBILE,,
TXN500_0040,CUST_38,MERCH_5,36490.16,2026-08-23T00:45:54.605201Z,FAILED,WALLET,SBI,MOBILE,TIMEOUT,Timeout
TXN500_0041,CUST_42,MERCH_4,40597.37,2026-08-23T01:00:54.605201Z,SUCCESS,WALLET,SBI,MOBILE,,
TXN500_0042,CUST_13,MERCH_10,44694.63,2026-08-23T01:15:54.605201Z,SUCCESS,NETBANKING,HDFC,DESKTOP,,
TXN500_0043,CUST_49,MERCH_5,22502.57,2026-08-23T01:30:54.605201Z,SUCCESS,UPI,AXIS,DESKTOP,,
TXN500_0044,CUST_48,MERCH_4,6783.4,2026-08-23T01:45:54.605201Z,FAILED,NETBANKING,AXIS,DESKTOP,TIMEOUT,Timeout
TXN500_0045,CUST_28,MERCH_3,34499.5,2026-08-23T02:00:54.605201Z,SUCCESS,UPI,ICICI,MOBILE,,
TXN500_0046,CUST_14,MERCH_9,20776.12,2026-08-23T02:15:54.605201Z,SUCCESS,CARD,AXIS,MOBILE,,
TXN500_0047,CUST_10,MERCH_7,10118.98,2026-08-23T02:30:54.605201Z,SUCCESS,WALLET,ICICI,MOBILE,,
TXN500_0048,CUST_42,MERCH_6,2289.45,2026-08-23T02:45:54.605201Z,SUCCESS,UPI,AXIS,DESKTOP,,
TXN500_0049,CUST_41,MERCH_6,23105.79,2026-08-23T03:00:54.605201Z,FAILED,CARD,AXIS,DESKTOP,TIMEOUT,Timeout
TXN500_0050,CUST_11,MERCH_10,45164.77,2026-08-23T03:15:54.605201Z,FAILED,NETBANKING,AXIS,DESKTOP,TIMEOUT,Timeout
TXN500_0051,CUST_13,MERCH_3,49938.89,2026-08-23T03:30:54.605201Z,SUCCESS,WALLET,ICICI,DESKTOP,,
TXN500_0052,CUST_36,MERCH_9,46181.41,2026-08-23T03:45:54.605201Z,SUCCESS,NETBANKING,ICICI,MOBILE,,
TXN500_0053,CUST_48,MERCH_2,2040.06,2026-08-23T04:00:54.605201Z,SUCCESS,WALLET,ICICI,DESKTOP,,
TXN500_0054,CUST_38,MERCH_2,13502.46,2026-08-23T04:15:54.605201Z,SUCCESS,CARD,AXIS,DESKTOP,,
TXN500_0055,CUST_27,MERCH_4,29634.34,2026-08-23T04:30:54.605201Z,FAILED,NETBANKING,SBI,DESKTOP,TIMEOUT,Timeout
TXN500_0056,CUST_17,MERCH_8,8836.26,2026-08-23T04:45:54.605201Z,FAILED,NETBANKING,HDFC,MOBILE,TIMEOUT,Timeout
TXN500_0057,CUST_19,MERCH_3,32014.33,2026-08-23T05:00:54.605201Z,FAILED,CARD,HDFC,DESKTOP,TIMEOUT,Timeout
TXN500_0058,CUST_4,MERCH_9,28350.27,2026-08-23T05:15:54.605201Z,SUCCESS,WALLET,HDFC,DESKTOP,,
TXN500_0059,CUST_16,MERCH_6,16911.75,2026-08-23T05:30:54.605201Z,SUCCESS,WALLET,SBI,MOBILE,,
TXN500_0060,CUST_49,MERCH_2,21757.03,2026-08-23T05:45:54.605201Z,SUCCESS,NETBANKING,ICICI,DESKTOP,,
TXN500_0061,CUST_28,MERCH_3,6703.78,2026-08-23T06:00:54.605201Z,SUCCESS,CARD,AXIS,DESKTOP,,
TXN500_0062,CUST_8,MERCH_6,11843.41,2026-08-23T06:15:54.605201Z,FAILED,NETBANKING,SBI,DESKTOP,TIMEOUT,Timeout
